Name,Platform,Year_of_Release,GenreEt,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,Wii,2006,2,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76,51,8,322,Nintendo,E
Super Mario Bros.,NES,1985,1,Platform,Nintendo,29.08,3.58,6.81,0.77,40.24,,,,,,
Mario Kart Wii,Wii,2008,6,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,Nintendo,E
Wii Sports Resort,Wii,2009,2,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80,73,8,192,Nintendo,E
Pokemon Red/Pokemon Blue,GB,1996,4,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,,,,,,
New Super Mario Bros.,DS,2006,1,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo,E
Wii Play,Wii,2006,3,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,1,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,Nintendo,E
Mario Kart DS,DS,2005,6,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo,E
Pokemon Gold/Pokemon Silver,GB,1999,4,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,,,,,,
Wii Fit,Wii,2007,2,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,Nintendo,E
Kinect Adventures!,X360,2010,3,Misc,Microsoft Game Studios,15,4.89,0.24,1.69,21.81,61,45,6.3,106,Good Science Studio,E
Wii Fit Plus,Wii,2009,2,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,Nintendo,E
Grand Theft Auto V,PS3,2013,5,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,5,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M
Super Mario World,SNES,1990,1,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,,,,,,
Brain Age: Train Your Brain in Minutes a Day,DS,2005,3,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,Nintendo,E
Pokemon Diamond/Pokemon Pearl,DS,2006,4,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,
Grand Theft Auto V,PS3,2013,5,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,5,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M
Grand Theft Auto V,X360,2013,5,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,5,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,M
Grand Theft Auto III,PS2,2001,5,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,DMA Design,M
Grand Theft Auto V,PS4,2014,5,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,Rockstar North,M
Mario Kart Wii,Wii,2008,6,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,Nintendo,E
Mario Kart DS,DS,2005,6,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo,E
Gran Turismo 3: A-Spec,PS2,2001,6,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,Polyphony Digital,E
Mario Kart 7,3DS,2011,6,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E
Gran Turismo 4,PS2,2004,6,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,Polyphony Digital,E
Gran Turismo,PS,1997,6,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,E
Gran Turismo 5,PS3,2010,6,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,Polyphony Digital,E
Mario Kart 64,N64,1996,6,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,
Pokemon Red/Pokemon Blue,GB,1996,4,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,,,,,,
Pokemon Gold/Pokemon Silver,GB,1999,4,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,,,,,,
Pokemon Diamond/Pokemon Pearl,DS,2006,4,Role-Playing,Nintendo,6.38,4.46,6.04,1.36,18.25,,,,,,
Pokemon Ruby/Pokemon Sapphire,GBA,2002,4,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,,,,,
Pokemon Black/Pokemon White,DS,2010,4,Role-Playing,Nintendo,5.51,3.17,5.65,0.8,15.14,,,,,,
Pokémon Yellow: Special Pikachu Edition,GB,1998,4,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,
Pokemon X/Pokemon Y,3DS,2013,4,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,4,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,,,,,,
